time,hs_300,zz_500,sz_bond,sw_gold,nh_goods,us_spx,hk_hsi,sum_p
2010-01-04,455.1955552525752,582.95333335916,25.29494161465796,1310.2410889289397,188.63698833648658,147.4192620734237,2805.8508580423104,5515.592027607554
2010-01-05,458.9049977671256,589.0210263570173,25.26597726593309,1337.3868022190102,190.08220138000777,147.87856885911393,2864.518117605148,5613.057691453356
2010-01-06,456.03223675695057,588.0909948580698,25.220651376707146,1317.2924313642056,191.75401935573205,147.9592403058924,2882.1439531943415,5608.493527211898
2010-01-07,446.9841533476004,576.3138700234285,25.2131339121526,1295.132186616629,188.90311462470765,148.5512646330569,2863.215573011965,5544.313296169539
2010-01-08,448.10101628526604,583.4606115183274,25.203626530510086,1285.0765291511807,187.30031726206244,148.97934376192964,2866.725676697676,5544.847121206953
2010-01-11,448.34849271669253,587.143644818147,25.243867076066778,1300.876228411863,190.43490014145473,149.23957423540853,2881.4817587523144,5582.768466151947
2010-01-12,455.1552534195698,599.639230617581,25.20318432671276,1307.0673331378357,189.09361362672152,147.8395342880921,2870.5687547477014,5594.566904164214
2010-01-13,440.5059877815599,593.356994500178,25.179084219758476,1270.7209865297357,183.90993349376907,149.07042442764725,2796.2491800615253,5458.992591014174
2010-01-14,446.6744859086926,609.2636866575494,25.185496174819708,1275.4483837594416,185.8165191375574,149.43214478578292,2792.179944815258,5484.000661239102
2010-01-15,448.43682197369486,613.599525557867,25.191687027982272,1279.818652000744,184.43774206054223,147.8148123931116,2784.1069686238975,5483.406209637839
2010-01-18,450.74754623924116,624.1217023860077,25.20207881721944,1274.161937366908,184.79190457591577,147.8148123931116,2759.1447684457944,5465.984750224197
2010-01-19,451.62285569857374,624.245000058325,25.21888256151784,1290.1727858835077,186.12360416177842,149.66244875481172,2787.169579346835,5514.215156465349
2010-01-20,437.0668121918609,601.1180272283308,25.22219908999779,1249.4235862723895,184.74186001599313,148.07634401895788,2736.793918884107,5382.442747701636
2010-01-21,438.88747646884866,603.2033605017489,25.230600962146987,1226.3066529208415,186.42976609793763,145.27105951485547,2682.343906031047,5307.672822497427
2010-01-22,433.43102031142905,586.4885128464733,25.2341385925256,1193.4494825972527,183.00976438983233,142.05461086265638,2664.7951618886223,5228.462691488792
2010-01-25,428.51458296431264,579.1578587858432,25.247625808344047,1202.2708292889124,183.3704940174171,142.7077893510884,2648.385728015135,5209.654908231053
2010-01-26,417.5420548389893,555.0182682801609,25.2569120880879,1161.9712993894698,181.44859829877495,142.10795810971956,2585.485908881763,5068.830999886965
2010-01-27,411.8468779199335,551.4938159488249,25.26664057162908,1133.4035870981286,181.36664126585814,142.80147232154079,2575.681075138736,5021.860110264651
2010-01-28,412.87747175819453,560.4462092046733,25.27305252669031,1126.2975022631806,177.39451421403706,141.1138777010302,2617.2480735221575,5060.650701189963
2010-01-29,412.5665167207882,565.3920743244229,25.28366541782614,1117.1737689827999,175.3537906878948,139.72684927738769,2587.1136364088493,5022.610301819968
2010-02-01,405.9420799653094,559.798056346527,25.32456926907882,1079.9150490466614,174.02933074983125,141.720214704236,2602.768471532783,4989.497771614428
2010-02-02,405.1028232639369,555.9727266764542,25.349774885526422,1136.75981755484,173.91043700746957,143.55874299936437,2606.423719538471,5047.078041926063
2010-02-03,415.9863783330086,563.8967346297562,25.38714110640049,1161.1514667847043,177.6994893226882,142.77284696945813,2664.2680703356295,5151.162127481645
2010-02-04,414.45246224165385,569.7594484784569,25.383603476021882,1136.7624243357775,175.12920336245537,138.32680933007128,2615.354408789439,5075.168360013875
2010-02-05,405.9910087082553,557.2037647569813,25.39598518234702,1101.4366324646112,172.33269489221644,138.72756425922879,2528.3680382560915,4929.455688519732
2010-02-08,405.720741783404,557.1521968625846,25.410577907658787,1106.4625061116326,173.16959290300196,137.49797527204103,2513.6865276476274,4919.100118487951
2010-02-09,408.0644285705138,557.2810519771551,25.473370846879117,1122.8487310831965,174.3295585484502,139.29096323431057,2544.465082055838,4971.753186316344
2010-02-10,413.8508962231187,564.3065636852263,25.432245893727774,1126.5998888519018,176.7447920882429,138.9799878185033,2561.428980345923,5007.343354906643
2010-02-11,414.6579629620268,563.0486430933342,25.47314974498045,1139.920539441258,178.40442530155124,140.32537936638917,2608.8035515288075,5070.633651438347
2010-02-12,418.6340671256324,570.7646993120884,25.468506605108526,1169.7551472681032,179.86504072873242,139.9402382656404,2605.9749794325444,5110.40267873785
2010-02-22,416.3250167381343,571.194819493925,25.42649724436253,1160.9715989000338,182.90586423498897,144.16898345967238,2619.9352684421906,5120.928048513308
2010-02-23,411.8556335897238,576.3138700234285,25.431140384234457,1139.1319882077394,183.7449380962059,142.42413813499638,2651.529197328587,5130.430905764915
2010-02-24,417.75914394584936,588.8667104023558,25.44904963802617,1147.9025026711224,182.69115395181095,143.8085642539041,2631.5672183307984,5138.0443431938675
2010-02-25,423.89390699231933,598.3898400533337,25.472486439284463,1156.4683848309317,181.403195553106,143.5092992094034,2622.8024762618593,5151.939589340238
2010-02-26,422.5468214431081,598.9980568729621,25.528204117747574,1149.6477425086125,181.720012562893,143.7109778263495,2649.6905226088493,5171.842337940521
2010-03-01,428.0522063434736,605.6663413627049,25.593650279751863,1172.8076877456251,183.63375873264653,145.17087078256608,2707.320171926756,5268.244687173525
2010-03-02,426.35425020340017,606.1868022918684,25.627478870247327,1150.3659106568255,180.73183360574842,145.50917039808863,2687.9289859208475,5222.704431947026
2010-03-03,429.424528823257,614.9935388635432,25.704201229083434,1162.1954825500734,181.81083124120323,145.57162571172358,2684.159232173845,5243.859440592729
