,time,pcarp_port_returns,pcarp_port_volatility,pcarp_port_maxdrawdown,pcarp_port_sharpe,pcarp_port_calmar
301,2010-03-31,0.2939932602682224,0.17536698180729104,0.1664473178075681,1.5053760836137438,1.766284156096236
361,2010-06-30,0.015563133299236474,0.16087969107038058,0.21213501905743756,-0.08973703644450548,0.0733642817125946
424,2010-09-30,0.07174830886925183,0.13193495236518143,0.21828735625404677,0.3164309996770007,0.3286874242306085
485,2010-12-31,0.06269756368229584,0.132029364510844,0.2072944662091197,0.2476537231201343,0.30245652394331757
543,2011-03-31,0.08192020202737559,0.1257277164791262,0.1933986833887952,0.41295748846274144,0.42358200475795865
604,2011-06-30,0.1097040418606418,0.11510836322242536,0.151798851636889,0.6924261593975466,0.7226934899551134
669,2011-09-30,-0.04933078522782193,0.11535707231332341,0.23450262878013656,-0.687697629949815,-0.21036346366109682
729,2011-12-30,-0.14384985712492926,0.10531879720635348,0.24472793018716885,-1.6507011258807043,-0.5877950138952769
787,2012-03-30,-0.06112570934690691,0.10020893581680804,0.22174017699793871,-0.9093571207411466,-0.2756636626454715
846,2012-06-29,-0.03034189512143791,0.09435474960400812,0.18706781936710834,-0.6395215436921113,-0.16219729948256856
911,2012-09-28,0.021363597395866355,0.07826218445409035,0.11722539346035574,-0.11035217920859178,0.18224376788371605
972,2012-12-31,0.07610777363055958,0.058532733862217697,0.09823830055707247,0.7877262958380574,0.7747260813652211
1028,2013-03-29,0.024243547605811253,0.05382321913095275,0.09327253826370092,-0.10695109819022913,0.2599216024042327
1085,2013-06-28,0.02928387072926924,0.0565574217062219,0.1015467591661729,-0.012661985803571002,0.2883781911872598
1149,2013-09-30,0.03974349222744394,0.05311394882776822,0.10121663180408214,0.1834450731396193,0.39265772352880307
1210,2013-12-31,0.061783132249365345,0.054497151106307325,0.10566357623193373,0.5832072246742981,0.5847155136387784
1268,2014-03-31,0.03612959654909688,0.05864504400891497,0.10356994728157175,0.10452028219409443,0.34884247310537575
1329,2014-06-30,0.05892397724517696,0.055048923437751994,0.07978327718483064,0.5254231225408704,0.7385504747902271
1394,2014-09-30,0.08100819602206998,0.04558849791700374,0.07071340118453834,1.1188830155126646,1.1455847783458424
1455,2014-12-31,0.12490413637367646,0.048785437836512464,0.07031782070814355,1.9453373912870247,1.7762799688018664
1512,2015-03-31,0.1578407935144253,0.051320223656078676,0.058280785562249644,2.491041238852494,2.7082818460954976
1574,2015-06-30,0.18817381547188364,0.06506366692619754,0.09311800973848458,2.4310621110750184,2.020810109670048
1638,2015-09-30,0.061274417544225995,0.09998207744783516,0.18738020210881323,0.31280023722794886,0.32700582481303675
1699,2015-12-31,0.08009330113197784,0.09621219805645359,0.173993285446802,0.5206543675739019,0.4603240919688602
1758,2016-03-31,0.008270959929449468,0.09758274630710191,0.17433564969402326,-0.2226729713280177,0.047442734426182145
1819,2016-06-30,-0.039979081154505096,0.08678489520037759,0.13951389702785388,-0.8063509323014154,-0.28655984820295927
1883,2016-09-30,0.0681915390092943,0.05702951975488088,0.08637719029395695,0.6696801792027307,0.7894623427461157
1943,2016-12-30,0.023911458933352323,0.046221658471296855,0.08810161998405877,-0.13172485081703839,0.27140771007024495
2002,2017-03-31,0.05064360438292872,0.029953776620327187,0.04937794411052771,0.6891820235088348,1.0256320973908502
2062,2017-06-30,0.05306775365115499,0.030167227014988213,0.05736953783139562,0.7646627129399088,0.9250162308630895
2127,2017-09-29,0.057098048735509305,0.02992698205692438,0.052955152389908645,0.9054721483097048,1.0782340557741488
2187,2017-12-29,0.07128232389006947,0.030178871856758088,0.03919240436293286,1.367921375126716,1.8187790478475063
2246,2018-03-30,0.05708602973329919,0.051970939773404584,0.07469705008299067,0.521176446902738,0.764234058371447
2306,2018-06-29,0.06683587761825115,0.05869936217642617,0.08359600016990708,0.6275345464153023,0.7995104727787055
2370,2018-09-28,0.059573954265888254,0.05691501030985047,0.08968185174927584,0.5196160750017433,0.6642810457620741
2430,2018-12-28,-0.028552528691770232,0.07283958028328708,0.13767600486673678,-0.8038559319541414,-0.20738928849226557
2488,2019-03-29,0.034412589545597644,0.06491767456051399,0.11986630343533039,0.06797208272585893,0.2870914390395274
2548,2019-06-28,0.03913476171257446,0.057229224347616826,0.10141182162876074,0.15961708055116874,0.3858994058487133
2613,2019-09-30,0.041690022849767285,0.053930073973533575,0.08737930788434203,0.21676259623719812,0.47711550776929357
2674,2019-12-31,0.10059230915641046,0.040313305120246376,0.041033451372006105,1.7510920760738418,2.4514708315527334
2732,2020-03-31,0.00205207097422164,0.08567870239149251,0.13785518417566323,-0.3261945879861207,0.014885700428986189
2791,2020-06-30,0.05281556635815424,0.08612435708778071,0.13971903676417344,0.26491421393021114,0.37801267158246776
2857,2020-09-30,0.04222146505134928,0.07811318415887361,0.13710337637342832,0.15645841586091494,0.3079535031752298
2917,2020-12-31,0.058725440248859215,0.07417187301487997,0.1301680827351568,0.3872821203139426,0.45115084293239116
2975,2021-03-31,0.11401697618139044,0.052597840164935544,0.06068343959064295,1.5973465054445435,1.8788812392725878
