time,hs_300,zz_500,sz_bond,sw_gold,nh_goods,us_spx,hk_hsi
2009/3/26,0.032151975,0.024028856,-0.000928766,0.054978267,0.018796915,0.023052626,0.035117272
2009/3/27,0.007689565,0.008538791,0.000192834,-0.003929336,-0.014220133,-0.020524738,0.000745311
2009/3/30,-0.005796841,0.001851732,0.00034175,-0.010738897,-0.002160994,-0.035439358,-0.048107186
2009/3/31,0.009335289,0.010664989,0.000192731,-0.001058656,0.006485558,0.013044212,0.00885533
2009/4/1,0.015994373,0.016577298,0.000455397,0.001475394,-0.000133428,0.016421016,-0.004168918
2009/4/2,0.010997215,0.000976964,0.000148835,-0.00937782,0.014516904,0.028322241,0.071526608
2009/4/3,-0.002291476,-0.010671987,-0.000674312,-0.050958238,0.001161315,0.009684728,0.001632103
2009/4/7,0.002504929,0.011610269,-0.000867641,0.011512179,0.026352215,-0.03251093,0.026008843
2009/4/8,-0.038610907,-0.034738392,-0.000166603,-0.023430034,-0.018672895,0.011714575,-0.030890221
2009/4/9,0.015337851,0.01655327,-0.000289429,-0.004467471,0.020498454,0.037347061,0.029042474
2009/4/10,0.030457261,0.031854695,0.000114028,0.046386544,0.018970578,0,0
2009/4/13,0.023225508,0.013530802,-0.000245614,-0.002136998,0.008421999,0.002530186,0
2009/4/14,0.007632706,0.015954351,-0.000702087,0.010548894,-0.009565453,-0.02026854,0.04454247
2009/4/15,0.003772659,0.014221038,-0.000403923,-0.01059983,0.012225554,0.012470933,0.005725489
2009/4/16,4.32E-05,0.004898884,0.000324908,0.006104067,0.014569431,0.015419321,-0.005543865
2009/4/17,-0.013644417,-0.012691056,0.000781103,-0.048241761,-0.005844361,0.004957068,0.001172342
2009/4/20,0.021267018,0.027341105,0.000745428,0.010765783,-0.012276636,-0.043732255,0.009545865
2009/4/21,-0.011972778,-0.000252068,0.000630987,0.015306355,-0.024932781,0.021029382,-0.029968
2009/4/22,-0.037767714,-0.052010901,0.00021024,-0.052041752,-0.006857681,-0.007711286,-0.027016284
2009/4/23,0.006686105,0.005594911,-0.000289092,-0.003114304,0.007925338,0.009873449,0.022332421
2009/4/24,-0.008003988,-0.007528327,0.000402954,0.040532764,-0.02060479,0.016657837,0.002913345
2009/4/27,-0.023435556,-0.040539579,0.000350263,-0.002161126,-0.009846204,-0.010117621,-0.027805104
2009/4/28,0.002082347,0.014921144,0.000227605,-0.072586952,-0.001400539,-0.002744255,-0.01941237
2009/4/29,0.033898905,0.026697621,0.000761225,0.006912626,0.015217739,0.021379806,0.027233926
2009/4/30,0.006715789,0.015075396,-1.75E-05,-0.005478794,0.013393995,-0.0009505,0.037017226
2009/5/4,0.034243973,0.033154468,0.000891749,0.020816082,0.03172804,0.038689132,0.053931852
2009/5/5,0.004672776,0.009471798,0.000532921,0.015195569,-0.011993275,-0.003798927,0.002988641
2009/5/6,0.013825802,0.013558476,-6.99E-05,-0.007737864,0.013902737,0.017254573,0.024320721
2009/5/7,0.000758127,-0.006747316,0.001099966,0.006504914,-0.000149095,-0.013290323,0.022514466
